node,x_pos,T_hot,T_cold,x_cold,x_hot,regime_cold,regime_hot,P_cold,P_hot,H_cold,H_hot,U,h_hot,h_cold,q_cell,q_flux
94,3.7600000000000002,590.3129796519163,590.3055330038591,1.0,0.0,superheated,subcooled,5996894.944641722,14931226.616985435,2944526.154605674,1436809.782440392,626.8132262341815,31052.89201508296,660.8649557231943,0.12685727434455252,5.050050730276772
95,3.8000000000000003,590.312755124542,590.3058584559889,1.0,0.0,superheated,subcooled,5996858.252024644,14930496.410316491,2944528.4996282705,1436809.7042729722,626.8109467413602,31052.960218203923,660.8623909457121,0.11725112983223661,4.667640518799228
96,3.84,590.3125315459195,590.3061306939247,1.0,0.0,superheated,subcooled,5996821.55908521,14929766.202650422,2944530.671449382,1436809.631878935,626.8087709038547,31053.028500024888,660.8599413574973,0.10859105555925533,4.32289233914233
97,3.88,590.3123088220366,590.3063549578284,1.0,0.0,superheated,subcooled,5996784.865831155,14929035.99398544,2944532.6871268353,1436809.5646896865,626.8066885101131,31053.096853086365,660.8575956106058,0.10078387268254181,4.012096842457875
98,3.92,590.3120868681461,590.3065359718129,1.0,0.0,superheated,subcooled,5996748.172269455,14928305.784319937,2944534.562038425,1436809.5021926335,626.8046903547302,31053.16527066391,660.8553434752189,0.09374557948738464,3.7319100114404713
99,3.96,590.3118656078427,590.3066779947651,1.0,0.0,superheated,subcooled,5996711.478406394,14927575.573652457,2944536.3100473797,1436809.4439256683,626.8027681392925,31053.23374669455,660.8531757294517,0.08740044774604243,3.4793171873424535
100,4.0,590.311644972251,590.3067848661536,1.0,0.0,superheated,subcooled,5996674.78424764,14926845.361981688,2944537.9436515314,1436809.3894721966,626.8009143829789,31053.302275712453,660.8510840600023,0.0816802075874518,3.2516006205195778
101,4.04,590.3114248992775,590.3068600473302,1.0,0.0,superheated,subcooled,5996638.0897983,14926115.149306444,2944539.474117794,1436809.3384566545,626.7991223419945,31053.37085279028,660.8490609726185,0.07652331313589317,3.0463102363014793
102,4.08,590.3112053329454,590.3069066587664,1.0,0.0,superheated,subcooled,5996601.395062978,14925384.935625654,2944540.911603397,1436809.2905404677,626.79738593694,31053.439473485578,660.8470997113841,0.07187428016594652,2.861237267752648
103,4.12,590.3109862227902,590.3069275136219,1.0,0.0,superheated,subcooled,5996564.700045828,14924654.720938351,2944542.2652651793,1436809.2454184084,626.7956996873429,31053.50813379334,660.8451941859615,0.0676830891032568,2.6943904897793307
104,4.16,590.3107675233185,590.306925148007,1.0,0.0,superheated,subcooled,5996528.004750589,14923924.50524366,2944543.543358115,1436809.2028153106,626.794058652639,31053.576830102946,660.8433389060067,0.06390464678830966,2.543974792528251
105,4.2,590.31054919352,590.3069018482671,1.0,0.0,superheated,subcooled,5996491.309180634,14923194.288540794,2944544.7533241413,1436809.1624831096,626.7924583789793,31053.645559158973,660.8415289220547,0.06049830131150661,2.408371867496282
